Abbreviation,Meaning,Wiki_Link,Reference_Link
PID,Persistent Identifier,https://en.wikipedia.org/wiki/Persistent_identifier,
VIAF,Virtual International Authority File,,
TDWG,Taxonomic Descriptions Work Group,,
EML,Ecological Metadata Language,https://en.wikipedia.org/wiki/Ecological_Metadata_Language,
ETL,Entry Transfer Load,,
ETL,Extract Transform Load,"https://en.wikipedia.org/wiki/Extract,_transform,_load",
RIs,Research Infrastructures,,
s.l.,"sine locale, without a location",,
GSP,Generic Services Projects,,
AOB,Any Other Business / Bugs,,
LOD,Linked Open Data,,
BRU,Biological Recording Unit,,
Btree,self balancing tree data structure,https://en.wikipedia.org/wiki/B-tree,
ETI,Everything To Index,,
STSM,Short Term Scientific Mission,,
ARK,Archival Resource Key,,
INEA,Innovations and Networks Executive Agency,,https://ec.europa.eu/inea/en/
OWL,Web Ontology Language,https://en.wikipedia.org/wiki/Web_Ontology_Language,
DAI,Digitally Accessable Information,,
DAK,Digitally Accessable Knowledge,,
RDF,Resource Description Framework,https://en.wikipedia.org/wiki/Resource_Description_Framework,
RDFS,RDF Schema,https://en.wikipedia.org/wiki/RDF_Schema,
LODLAM,"Linked Open Data in Library, Archives, and Museums",,https://lodlam.net/
RiC,Records in Contexts,https://en.wikipedia.org/wiki/Records_in_Contexts,"https://www.ica.org/en/egad-ric-conceptual-model"
GLAM,"Galleries,Libraries,Archives,Museums",,
OER,Open Educational Resources,https://en.wikipedia.org/wiki/Open_educational_resources,https://unesdoc.unesco.org/ark:/48223/pf0000370936
CSR,Corporate Social Responsibility,https://en.wikipedia.org/wiki/Corporate_social_responsibility,
BGCI,Botanic Gardens Conservation International,https://en.wikipedia.org/wiki/Botanic_Gardens_Conservation_International,https://www.bgci.org/
GBS,Genotyping by Sequencing,https://en.wikipedia.org/wiki/Genotyping_by_sequencing,
MET,Morpho-Ecological Type,,
CHI/HCI,Computer-Human Interaction/Interface,https://en.wikipedia.org/wiki/Human%E2%80%93computer_interaction,
CHI,Cultural Heritage Institution,,
FAIR,"Findable, Accessible, Interoperable, Reusable",https://en.wikipedia.org/wiki/FAIR_data,
CARE,"Collective-Benefit,Authority to Control, Responsibility, Ethics",,https://www.gida-global.org/care
EDM, Europeana Data Model,,https://pro.europeana.eu/resources/standardization-tools/edm-documentation
OpenDS,Open Digital Specimen,,https://www.researchgate.net/publication/333854988_'openDS'_-_A_New_Standard_for_Digital_Specimens_and_Other_Natural_Science_Digital_Object_Types
ENM,Ecological Niche Modelling,https://en.wikipedia.org/wiki/Species_distribution_modelling,https://pdfs.semanticscholar.org/e98a/80aeec9ab38373397aa11109572abbb77ce4.pdf
DAG,Directed acyclic graph,https://en.wikipedia.org/wiki/Directed_acyclic_graph,https://cran.r-project.org/web/packages/ggdag/vignettes/intro-to-dags.html
DPO,Data Protection Officer,https://en.wikipedia.org/wiki/Data_Protection_Officer,https://edps.europa.eu/data-protection/data-protection/reference-library/data-protection-officer-dpo_en
RDM,Research Data Management,,https://researchdata.berkeley.edu/
FTE,Full Time Equivalent,https://en.wikipedia.org/wiki/Full-time_equivalent,
LOUD,Linked Open Usable Data,,https://linked.art/loud/
EOL,Encyclopedia of life,https://en.wikipedia.org/wiki/Encyclopedia_of_Life,https://eol.org
SWEET,Semantic Web for Earth and Environmental Terminology,,https://github.com/ESIPFed/sweet
ORMS,Operating Resource Management System,,https://tecrada.com/operating-system-resource-management/
ORM,Object-Relational Mapper,https://en.wikipedia.org/wiki/Object-relational_mapping,
MIDS,Minimum Information about a Digital Specimen,,
BGS,British Geographic Survey,https://en.wikipedia.org/wiki/British_Geological_Survey,https://www.bgs.ac.uk/
OBO,Open biological and biomedical ontologies,https://en.wikipedia.org/wiki/Open_Biomedical_Ontologies,http://www.obofoundry.org/
SAD,(local) Species Abundance Distribution,https://en.wikipedia.org/wiki/Relative_species_abundance,"https://dfzljdn9uc3pi.cloudfront.net/2016/1900/1/The_introduction_of_species_abundance_distribution.pdf"
ILK,Indiginous and Local Knowledge,https://en.wikipedia.org/wiki/Traditional_knowledge,http://www.unesco.org/new/en/natural-sciences/priority-areas/links/related-information/what-is-local-and-indigenous-knowledge/
NCP,Natures Contributions to People,,https://ipbes.net/news/natures-contributions-people-ncp-article-ipbes-experts-science
BSBI,Botanical Society of Britain and Ireland,https://en.wikipedia.org/wiki/Botanical_Society_of_Britain_and_Ireland,https://bsbi.org/
SPNHC,The Society for the Preservation of Natural History Collections,https://en.wikipedia.org/wiki/Society_for_the_Preservation_of_Natural_History_Collections,https://spnhc.org/
TDQM,Total Data Quality Management,,
KDD,Knowledge Discovery in Databases,,https://www.techopedia.com/definition/25827/knowledge-discovery-in-databases-kdd
MVT,Marginal value theorem,https://en.wikipedia.org/wiki/Marginal_value_theorem,
JIT,Just In Time (Compilation),https://en.wikipedia.org/wiki/Just-in-time_compilation,https://www.r-statistics.com/2012/04/speed-up-your-r-code-using-a-just-in-time-jit-compiler/ 
MSE,Mean squared error,https://en.wikipedia.org/wiki/Mean_squared_error,
ZAP,Zelfstandig Academisch Personeel, https://nl.wikipedia.org/wiki/Hoofddocent,
NHC,Natural History Collections,,
GDM,Generalized Dissimilarity Modeling,,https://www.onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2007.00341.x
ARs,Association Rules,https://en.wikipedia.org/wiki/Association_rule_learning,https://doi.org/10.1016/j.eswa.2019.01.082
RARs,Relational association rules,,https://doi.org/10.1016/j.eswa.2019.01.082
DRAR,Discovery of Relational Association Rules,,https://doi.org/10.1016/j.eswa.2019.01.082
CRAR,Concurrent Relational Association Rule (mining),,https://doi.org/10.1016/j.eswa.2019.01.082
GWR,Geographically Weighted Regression,https://en.wikipedia.org/wiki/Spatial_analysis#Spatial_regression,http://resources.esri.com/help/9.3/arcgisengine/java/GP_ToolRef/spatial_statistics_tools/geographically_weighted_regression_spatial_statistics_.htm
CART,Classification And Regression Tree,https://en.wikipedia.org/wiki/Decision_tree_learning,https://machinelearningmastery.com/classification-and-regression-trees-for-machine-learning/
ESTATE,Exploring Spatial daTa Association paTErns,,https://www.cs.umb.edu/~ding/papers/ds2010.pdf
UPGMA,Unweighted Pair Group Method with Arithmetic mean,https://en.wikipedia.org/wiki/UPGMA,
CS,Citizen Science,https://en.wikipedia.org/wiki/Citizen_science,
OPT,Optimal Foraging Theory,https://en.wikipedia.org/wiki/Optimal_foraging_theory,http://www.tiem.utk.edu/~gross/bioed/bealsmodules/optimal.html
UML,Unified Modeling Language,https://en.wikipedia.org/wiki/Unified_Modeling_Language,
MOF,Meta-Object Facility,https://en.wikipedia.org/wiki/Meta-Object_Facility,https://www.omg.org/spec/MOF/
OMG,Object Management Group,https://en.wikipedia.org/wiki/Object_Management_Group,https://www.omg.org/
SLA,Service Level Agreement,https://en.wikipedia.org/wiki/Service-level_agreement,https://www.cio.com/article/2438284/outsourcing-sla-definitions-and-solutions.html
DLF, Digital Library Federation,https://en.wikipedia.org/wiki/Digital_Library_Federation,https://www.diglib.org/
OS,Open Science,https://en.wikipedia.org/wiki/Open_science,https://openscience.com/
DITOs,Doing It Together Science,,http://togetherscience.eu/
ECSA,European Citizen Science Association,https://en.wikipedia.org/wiki/European_Citizen_Science_Association,https://ecsa.citizen-science.net/
RRI,Responsible Research and Innovation,https://en.wikipedia.org/wiki/Responsible_Research_and_Innovation,https://ec.europa.eu/programmes/horizon2020/en/h2020-section/responsible-research-innovation
RSE,Research Software Engineering,https://en.wikipedia.org/wiki/Research_software_engineering,https://society-rse.org/
SDR,Specimen Data Refinery,,https://doi.org/10.3897/biss.3.37647
KML,Keyhole Markup Language,https://en.wikipedia.org/wiki/Keyhole_Markup_Language,https://www.ogc.org/standards/kml/
HTR,Handwritten Text Recognition,https://en.wikipedia.org/wiki/Handwriting_recognition,
BP,Best Practices,https://en.wikipedia.org/wiki/Best_practice,
SoC,System On Chip,https://en.wikipedia.org/wiki/System_on_a_chip,
SOC,Soil Organic Carbon,https://en.wikipedia.org/wiki/Soil_carbon,
CORS,Cross-origin resource sharing,https://en.wikipedia.org/wiki/Cross-origin_resource_sharing,https://fetch.spec.whatwg.org/#http-cors-protocol
UI,Unsigned Integer (capable of representing only non-negative integers),https://en.wikipedia.org/wiki/Integer_(computer_science),https://en.wikipedia.org/wiki/Integer_(computer_science)
UI,User Interface,https://en.wikipedia.org/wiki/User_interface,https://www.usability.gov/what-and-why/user-interface-design.html 
IRI,Information Reuse and Integration,,http://www.sis.pitt.edu/iri2018/
IRIs,Internationalized Resource Identifiers,https://en.wikipedia.org/wiki/Internationalized_Resource_Identifier,https://tools.ietf.org/html/rfc3987
URI,Uniform Resource Identifier,https://en.wikipedia.org/wiki/Uniform_Resource_Identifier,https://tools.ietf.org/html/rfc3986
TBPH,To Be Perfectly Honest,,https://www.cyberdefinitions.com/definitions/TBPH.html
CDPHE,Colorado Department of Public Health and Environment,,https://www.colorado.gov/cdphe
TDS,Total Dissolved Solids,https://en.wikipedia.org/wiki/Total_dissolved_solids,
DO,Dissolved Oxygen,,https://www.fondriest.com/environmental-measurements/parameters/water-quality/dissolved-oxygen/
EC,Electrical Conductivity,,https://www.epa.gov/national-aquatic-resource-surveys/indicators-conductivity
EOF,End Of File,https://en.wikipedia.org/wiki/End-of-file,https://www.gnu.org/software/libc/manual/html_mono/libc.html#EOF-and-Errors
LDN,Linked Data Notifications,https://en.wikipedia.org/wiki/Linked_Data_Notifications,https://www.w3.org/TR/ldn/
LDP,Linked Data Platform,https://en.wikipedia.org/wiki/Linked_Data_Platform,https://www.w3.org/TR/ldp-primer/
OPDS,Open Publication Distribution System,https://en.wikipedia.org/wiki/Open_Publication_Distribution_System,http://www.feedbooks.com/api/primer
LIDO,Lightweight Information Describing Objects,https://en.wikipedia.org/wiki/LIDO,http://network.icom.museum/cidoc/working-groups/lido/what-is-lido/
MODS,Metadata Object Description Schema (compromise between MARC and DublinCore),https://en.wikipedia.org/wiki/Metadata_Object_Description_Schema,https://www.loc.gov/standards/mods/
RDA,Resource Description and Access,https://en.wikipedia.org/wiki/Resource_Description_and_Access,
